GrouP28,,,,,
P1,P2,P3,P4,P5,PC
,105.14,,98.02,65.44,79
,105.17,,98.01,65.54,79
,105.12,,97.86,65.65,79
,105.14,,98.04,65.53,79
,105.32,,97.99,65.54,79
,105.27,,97.97,65.49,79
,105.21,,98.01,65.4,79
,105.24,,98,65.48,79
,105.18,,98.03,65.23,79
,105.18,,98,65.3,79
,105.25,,97.99,65.3,79
,105.4,,97.96,65.33,79
,105.36,,98.02,65.22,79
,105.3,,98.01,65.2,79
,105.33,,98.04,65.12,79
,105.34,,97.94,65.13,79
,105.51,,97.98,65.09,79
,105.38,,98.01,64.9,79
,105.37,,97.99,64.89,79
,105.21,,98,64.95,79
,105.12,,98.05,64.98,79
,105.18,,97.97,64.94,79
,105.18,,97.97,64.89,79
,105.16,,97.98,65.02,79
,105.1,,98.01,65.1,79
,,,98.01,65.19,79
,105.03,,98.1,65.27,79
,105.06,,97.94,65.27,79
,105.22,,98.03,65.28,79
,105.34,,98.03,65.29,79
,105.52,,97.98,65.24,79
,105.45,,98.05,65.32,79
,105.2,,98.09,65.49,79
,,,97.9,65.4,79
,105.1,,97.98,65.39,79
,105.09,,97.98,65.66,79
,,,98.02,65.76,79
,105.06,,98.05,65.49,79
,105.12,,98.06,65.6,79
,,,97.91,65.65,79
,,,97.95,65.54,79
,,,97.97,65.75,79
,,,98.01,65.96,79
,,,98.02,66.08,79
,,,98.04,66.41,79
,,,97.94,66.59,79
,,,97.97,66.7,79
,,,98.01,66.91,79
,,,98.03,67,79
,,,97.97,67.18,79
,105.18,,98.05,67.34,79
,105.46,,97.94,67.47,79
,105.33,,97.97,67.54,79
,105,,97.93,67.71,79
,,,97.97,67.87,79
,,,98.02,67.4,79
,,,98.07,67.26,79
,105.09,,98.07,67.43,79
,105.32,,98.01,67.58,79
,105.26,,97.96,67.59,79
,,,97.95,67.43,79
,,,98,67.5,79
,,,97.98,67.62,79
,,,98.05,67.69,79
,,,98.06,67.42,79
,,,97.99,67.4,79
,,,97.94,67.32,79
,,,97.96,67.48,79
,,,98.05,67.58,79
,,,97.9,67.75,79
,,,98.06,67.84,79
,,,98.03,68.02,79
,,,97.96,68.26,79
,,,97.97,68.51,79
,,,98,68.77,79
,,,98.01,69,79
,,,97.99,69.2,79
,,,98,69.31,79
,,,98.02,69.25,79
,,,98.03,69.25,79
,,,98.05,69.17,79
,,,98.01,69.14,79
,,,98,69.25,79
,,,98.01,69.49,79
,,,98,69.65,79
,,,98.05,69.88,79
,,,97.96,69.83,79
,,,98.02,70.18,79
,,,97.96,70.04,79
,,,98.03,70.18,79
,,,98.09,70.35,79
,,,97.98,70.41,79
,,,97.88,70.82,79
,,,98.04,70.94,79
,,,98.05,71.18,79
,,,98.03,71.37,79
